Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Win%,RotY_Votes
Sherman Douglas,PG,23,MIA,81,66,30.5,5.7,11.6,0.5,0.1,0.4,0.2,5.7,11.2,0.5,0.5,2.8,4,0.7,0.9,1.7,2.5,7.6,1.8,0.1,3,2.3,14.3,1990,0.22,0
Terry Dozier,SF,23,CHH,9,0,10.2,1,3,0.3,0,0.1,0,1,2.9,0.3,0.3,0.4,0.9,0.5,0.8,0.9,1.7,0.3,0.7,0.2,0.8,1.1,2.4,1990,0.5,0
Blue Edwards,SF,24,UTA,82,49,23,3.5,6.9,0.5,0.1,0.4,0.3,3.4,6.5,0.5,0.5,1.8,2.5,0.7,0.8,2.2,3.1,1.8,0.9,0.4,1.9,3.4,8.9,1990,0.671,0
Jay Edwards,SG,21,LAC,4,0,6.5,0.8,1.8,0.4,0,0.5,0,0.8,1.2,0.6,0.4,0.2,0.8,0.3,0.2,0.2,0.5,1,0.2,0,0.2,1,1.8,1990,0.366,0
Sean Elliott,SF,21,SAS,81,69,25.1,3.8,8,0.5,0,0.1,0.1,3.8,7.9,0.5,0.5,2.3,2.7,0.9,1.6,2.1,3.7,1.9,0.6,0.2,1.4,2.1,10,1990,0.683,0
Pervis Ellison,C,22,SAC,34,22,25.5,3.3,7.4,0.4,0,0.1,0,3.3,7.3,0.4,0.4,1.4,2.3,0.6,1.9,3.9,5.8,1.9,0.5,1.7,1.8,3.9,8,1990,0.28,0
Derrick Gervin,PF,26,NJN,21,0,16.1,4.4,9.4,0.5,0,0.1,0,4.4,9.2,0.5,0.5,3.1,4.2,0.7,1.4,1.7,3.1,0.4,1,0.3,0.6,2.2,12,1990,0.207,0
Greg Grant,PG,23,PHO,67,3,10.1,1.2,3.2,0.4,0,0.2,0.2,1.2,3,0.4,0.4,0.6,0.9,0.7,0.2,0.6,0.9,2.5,0.5,0,1.1,0.9,3.1,1990,0.659,0
Scott Haffner,PG,23,MIA,43,6,13,2,5,0.4,0.1,0.5,0.1,2,4.6,0.4,0.4,0.4,0.6,0.7,0.2,1,1.2,1.9,0.3,0,0.8,1.2,4.6,1990,0.22,0
Tom Hammonds,PF,22,WSB,61,8,13.2,2.1,4.8,0.4,0,0,0,2.1,4.8,0.4,0.4,1,1.6,0.6,1,1.8,2.8,0.8,0.2,0.2,0.8,1.6,5.3,1990,0.378,0
Tim Hardaway,PG,23,GSW,79,78,33.7,5.9,12.5,0.5,0.3,1.1,0.3,5.6,11.4,0.5,0.5,2.7,3.5,0.8,0.7,3.2,3.9,8.7,2.1,0.2,3.3,2.9,14.7,1990,0.451,0
Mike Higgins,SF,22,DEN,5,0,6.4,0.6,1.6,0.4,0,0,,0.6,1.6,0.4,0.4,1.4,1.6,0.9,0.2,0.4,0.6,0.4,0.2,0,0.2,0.2,2.6,1990,0.524,0
Ed Horton,PF,22,WSB,45,10,8.3,1.8,3.6,0.5,0,0.1,0,1.8,3.5,0.5,0.5,0.9,1.5,0.6,1.3,1.1,2.4,0.4,0.2,0.1,0.9,1.4,4.5,1990,0.378,0
Byron Irvin,SG,23,POR,50,2,9.8,1.9,4.1,0.5,0.1,0.3,0.4,1.8,3.8,0.5,0.5,1.2,1.8,0.7,0.6,0.9,1.5,0.9,0.6,0,0.8,0.8,5.2,1990,0.72,0
Jaren Jackson,SG,22,NJN,28,0,5.7,0.9,2.5,0.4,0,0.1,0,0.9,2.4,0.4,0.4,0.6,0.8,0.8,0.6,0.3,0.9,0.5,0.5,0,0.6,0.6,2.4,1990,0.207,0
Eric Johnson,PG,23,UTA,48,2,5.7,0.4,1.8,0.2,0,0.1,0.2,0.4,1.6,0.2,0.2,0.3,0.4,0.8,0.2,0.4,0.6,1.3,0.4,0,0.5,1,1.1,1990,0.671,0
Nate Johnston,PF,23,POR,15,0,4.9,0.9,2.5,0.4,0,0.2,0,0.9,2.3,0.4,0.4,0.5,0.7,0.6,0.7,0.7,1.4,0.1,0.2,0.5,0.3,0.7,2.3,1990,0.72,0
Shawn Kemp,PF,20,SEA,81,1,13.8,2.5,5.2,0.5,0,0.1,0.2,2.5,5.1,0.5,0.5,1.4,2,0.7,1.8,2.5,4.3,0.3,0.6,0.9,1.3,2.5,6.5,1990,0.5,0
