Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Name_id,Year
Carl Landry,24,HOU,0,1,625,0.002,42,16.9,8.1,4.9,0.5,0.4,0.2,0.616,0,0.661,3.7,0.251,landrca01,2008
Derrick Rose,20,CHI,111,574,600,0.957,81,37,16.8,3.9,6.3,0.8,0.2,0.475,0.222,0.788,4.9,0.078,rosede01,2009
O.J. Mayo,21,MEM,5,246,600,0.41,82,38,18.5,3.8,3.2,1.1,0.2,0.438,0.384,0.879,3.4,0.052,mayooj01,2009
Brook Lopez,20,NJN,2,127,600,0.212,82,30.5,13,8.1,1,0.5,1.8,0.531,0,0.793,5.8,0.112,lopezbr01,2009
Russell Westbrook,20,OKC,2,73,600,0.122,82,32.5,15.3,4.9,5.3,1.3,0.2,0.398,0.271,0.815,1.9,0.035,westbru01,2009
Eric Gordon,20,LAC,0,22,600,0.037,78,34.3,16.1,2.6,2.8,1,0.4,0.456,0.389,0.854,4.6,0.082,gordoer01,2009
Kevin Love,20,MIN,0,16,600,0.027,81,25.3,11.1,9.1,1,0.4,0.6,0.459,0.105,0.789,5.3,0.124,loveke01,2009
Michael Beasley,20,MIA,0,7,600,0.012,81,24.8,13.9,5.4,1,0.5,0.5,0.472,0.407,0.772,3.4,0.081,beaslmi01,2009
Marc Gasol,24,MEM,0,4,600,0.007,82,30.7,11.9,7.4,1.7,0.8,1.1,0.53,0,0.733,6.4,0.121,gasolma01,2009
Rudy Fernández,23,POR,0,3,600,0.005,78,25.6,10.4,2.7,2,0.9,0.2,0.425,0.399,0.839,6.1,0.147,fernaru01,2009
Robin Lopez,20,PHO,0,3,600,0.005,60,10.2,3.2,2,0.1,0.2,0.7,0.518,0,0.691,1.1,0.083,lopezro01,2009
Mario Chalmers,22,MIA,0,2,600,0.003,82,32,10,2.8,4.9,2,0.1,0.42,0.367,0.767,5.2,0.095,chalmma01,2009
Courtney Lee,23,ORL,0,2,600,0.003,77,25.2,8.4,2.3,1.2,1,0.2,0.45,0.404,0.83,4.4,0.108,leeco01,2009
Nicolas Batum,20,POR,0,1,600,0.002,79,18.4,5.4,2.8,0.9,0.6,0.5,0.446,0.369,0.808,3.7,0.123,batumni01,2009
Tyreke Evans,20,SAC,67,491,615,0.798,72,37.2,20.1,5.3,5.8,1.5,0.4,0.458,0.255,0.748,5.4,0.097,evansty01,2010
Stephen Curry,21,GSW,43,391,615,0.636,80,36.2,17.5,4.5,5.9,1.9,0.2,0.462,0.437,0.885,4.7,0.077,curryst01,2010
Brandon Jennings,20,MIL,12,204,615,0.332,82,32.6,15.5,3.4,5.7,1.3,0.2,0.371,0.374,0.817,4.2,0.075,jennibr01,2010
Darren Collison,22,NOH,1,17,615,0.028,76,27.8,12.4,2.5,5.7,1,0.1,0.477,0.4,0.851,2.9,0.067,collida01,2010
Jonny Flynn,20,MIN,0,2,615,0.003,81,28.9,13.5,2.4,4.4,1,0,0.417,0.358,0.826,0.1,0.002,flynnjo01,2010
Taj Gibson,24,CHI,0,2,615,0.003,82,26.9,9,7.5,0.9,0.6,1.3,0.494,,0.646,4.7,0.103,gibsota01,2010
Blake Griffin,21,LAC,118,590,590,1,82,38,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152,griffbl01,2011
John Wall,20,WAS,0,295,590,0.5,69,37.8,16.4,4.6,8.3,1.8,0.5,0.409,0.296,0.766,2.2,0.041,walljo01,2011
DeMarcus Cousins,20,SAC,0,81,590,0.137,81,28.5,14.1,8.6,2.5,1,0.8,0.43,0.167,0.687,1.1,0.022,couside01,2011
Landry Fields,22,NYK,0,62,590,0.105,82,31,9.7,6.4,1.9,1,0.2,0.497,0.393,0.769,5.3,0.1,fieldla01,2011
Gary Neal,26,SAS,0,19,590,0.032,80,21.1,9.8,2.5,1.2,0.3,0.1,0.451,0.419,0.808,3.5,0.099,nealga01,2011
Greg Monroe,20,DET,0,15,590,0.025,80,27.8,9.4,7.5,1.3,1.2,0.6,0.551,0,0.622,6.6,0.143,monrogr01,2011
Kyrie Irving,19,CLE,117,592,600,0.987,51,30.5,18.5,3.7,5.4,1.1,0.4,0.469,0.399,0.872,4.1,0.125,irvinky01,2012
Ricky Rubio,21,MIN,0,170,600,0.283,41,34.2,10.6,4.2,8.2,2.2,0.2,0.357,0.34,0.803,2,0.07,rubiori01,2012
Kenneth Faried,22,DEN,1,129,600,0.215,46,22.5,10.2,7.7,0.8,0.7,1,0.586,,0.665,4.6,0.212,farieke01,2012
Kawhi Leonard,20,SAS,1,47,600,0.078,64,24,7.9,5.1,1.1,1.3,0.4,0.493,0.376,0.773,5.5,0.171,leonaka01,2012
Iman Shumpert,21,NYK,1,33,600,0.055,59,28.9,9.5,3.2,2.8,1.7,0.1,0.401,0.306,0.798,2.4,0.068,shumpim01,2012
